सुप्रतूर्ती इति सु-प्रतूर्ती	सुप्रतूर्ती इति सु-प्रतूर्ती,सुप्रतूर्ती,सु-प्रतूर्ती
सुयवसिनी इति सु-यवसिनी	सुयवसिनी इति सु-यवसिनी,सुयवसिनी,सु-यवसिनी
स्मद्दिष्टी इति स्मत्-दिष्टी	स्मद्दिष्टी इति स्मत्-दिष्टी,स्मद्दिष्टी,स्मत्-दिष्टी
स्वधावरी इति स्वधा-वरी	स्वधावरी इति स्वधा-वरी,स्वधावरी,स्वधा-वरी
स्वर्पती इति स्वः-पती	स्वर्पती इति स्वः-पती,स्वर्पती,स्वः-पती
स्वापी इति सु-आपी	स्वापी इति सु-आपी,स्वापी,सु-आपी
हिरण्यवर्तनी इति हिरण्य-वर्तनी	हिरण्यवर्तनी इति हिरण्य-वर्तनी,हिरण्यवर्तनी,हिरण्य-वर्तनी
अद्भुतक्रतू इत्यद्भुत-क्रतू	अद्भुतक्रतू इति अद्भुत-क्रतू,अद्भुतक्रतू,अद्भुत-क्रतू
अध्रिगू इत्यध्रि-गू	अध्रिगू इति अध्रि-गू,अध्रिगू,अध्रि-गू
अस्मयू इत्यस्म-यू	अस्मयू इति अस्म-यू,अस्मयू,अस्म-यू
अस्मृतध्रू इत्यस्मृत-ध्रू	अस्मृतध्रू इति अस्मृत-ध्रू,अस्मृतध्रू,अस्मृत-ध्रू
ऋतप्सू इत्यृत-प्सू	ऋतप्सू इति ऋत-प्सू,ऋतप्सू,ऋत-प्सू
कृतद्वसू इति कृतत्-वसू	कृतद्वसू इति कृतत्-वसू,कृतद्वसू,कृतत्-वसू
घृतस्नू इति घृत-स्नू	घृतस्नू इति घृत-स्नू,घृतस्नू,घृत-स्नू
जीरदानू इति जीर-दानू	जीरदानू इति जीर-दानू,जीरदानू,जीर-दानू
दुरत्येतू इति दुः-अत्येतू	दुरत्येतू इति दुः-अत्येतू,दुरत्येतू,दुः-अत्येतू
पुनर्वसू इति पुनः-वसू	पुनर्वसू इति पुनः-वसू,पुनर्वसू,पुनः-वसू
पुरुभू इति पुरु-भू	पुरुभू इति पुरु-भू,पुरुभू,पुरु-भू
पुरुमन्तू इति पुरु-मन्तू	पुरुमन्तू इति पुरु-मन्तू,पुरुमन्तू,पुरु-मन्तू
पुरुवसू इति पुरु-वसू	पुरुवसू इति पुरु-वसू,पुरुवसू,पुरु-वसू
पूतबन्धू इति पूत-बन्धू	पूतबन्धू इति पूत-बन्धू,पूतबन्धू,पूत-बन्धू
प्रतद्वसू इति प्रतत्-वसू	प्रतद्वसू इति प्रतत्-वसू,प्रतद्वसू,प्रतत्-वसू
महावसू इति महा-वसू	महावसू इति महा-वसू,महावसू,महा-वसू
वाजिनीवसू इति वाजिनी-वसू	वाजिनीवसू इति वाजिनी-वसू,वाजिनीवसू,वाजिनी-वसू
वज्रबाहू इति वज्र-बाहू	वज्रबाहू इति वज्र-बाहू,वज्रबाहू,वज्र-बाहू
वृधस्नू इति वृध-स्नू	वृधस्नू इति वृध-स्नू,वृधस्नू,वृध-स्नू
वृषण्वसू इति वृषण्-वसू	वृषण्वसू इति वृषण्-वसू,वृषण्वसू,वृषण्-वसू
शचीवसू इति शची-वसू	शचीवसू इति शची-वसू,शचीवसू,शची-वसू
शतक्रतू इति सत-क्रतू	शतक्रतू इति सत-क्रतू,शतक्रतू,सत-क्रतू
शँभू इति शम्-भू	शंभू इति शम्-भू,शंभू,शम्-भू
सबन्धू इति स-बन्धू	सबन्धू इति स-बन्धू,सबन्धू,स-बन्धू
समानबन्धू इति समान-बन्धू	समानबन्धू इति समान-बन्धू,समानबन्धू,समान-बन्धू
सक्रतू इति स-क्रतू	सक्रतू इति स-क्रतू,सक्रतू,स-क्रतू
सुक्रतू इति सु-क्रतू	सुक्रतू इति सु-क्रतू,सुक्रतू,सु-क्रतू
सुदानू इति सु-दानू	सुदानू इति सु-दानू,सुदानू,सु-दानू
सुयवस्यू इति सु-यवस्यू	सुयवस्यू इति सु-यवस्यू,सुयवस्यू,सु-यवस्यू
सृप्रदानू इति सृप्र-दानू	सृप्रदानू इति सृप्र-दानू,सृप्रदानू,सृप्र-दानू
स्मदभीशू इति स्मत्-अभीशू	स्मदभीशू इति स्मत्-अभीशू,स्मदभीशू,स्मत्-अभीशू
अभिस्तुते इत्यभि-स्तुते	अभिस्तुते इति अभि-स्तुते,अभिस्तुते,अभि-स्तुते
अभीवृते इत्यभि-वृते	अभीवृते इति अभि-वृते,अभीवृते,अभि-वृते
आददाथे इत्या-ददाथे	आददाथे इति आ-ददाथे,आददाथे,आ-ददाथे
आमिनाने इत्या-मिनाने	आमिनाने इति आ-मिनाने,आमिनाने,आ-मिनाने
आमेम्याने इत्या-मेम्याने	आमेम्याने इति आ-मेम्याने,आमेम्याने,आ-मेम्याने
इन्द्रेषिते इतीन्द्र-इषिते	इन्द्रेषिते इति इन्द्र-इषिते,इन्द्रेषिते,इन्द्र-इषिते
उपस्तुते इत्युप-स्तुते	उपस्तुते इति उप-स्तुते,उपस्तुते,उप-स्तुते
दूरेअन्ते इति दूरे-अन्ते	दूरेअन्ते इति दूरे-अन्ते,दूरेअन्ते,दूरे-अन्ते
देवपुत्रे इति देव-पुत्रे	देवपुत्रे इति देव-पुत्रे,देवपुत्रे,देव-पुत्रे
देवशिष्टे इति देव-शिष्टे	देवशिष्टे इति देव-शिष्टे,देवशिष्टे,देव-शिष्टे
नियुवैते इति नि-युवैते	नियुवैते इति नि-युवैते,नियुवैते,नि-युवैते
निहिते इति नि-हिते	निहिते इति नि-हिते,निहिते,नि-हिते
न्यृष्टे इति नि-ऋष्टे	न्यृष्टे इति नि-ऋष्टे,न्यृष्टे,नि-ऋष्टे
परिमम्नाथे इति परि-मम्नाथे	परिमम्नाथे इति परि-मम्नाथे,परिमम्नाथे,परि-मम्नाथे
पुरोहिते इति पुरः-हिते	पुरोहिते इति पुरः-हिते,पुरोहिते,पुरः-हिते
पुरुहूते इति पुरु-हूते	पुरुहूते इति पुरु-हूते,पुरुहूते,पुरु-हूते
पूर्वजे इति पूर्व-जे	पूर्वजे इति पूर्व-जे,पूर्वजे,पूर्व-जे
प्रियतमे इति प्रिय-तमे	प्रियतमे इति प्रिय-तमे,प्रियतमे,प्रिय-तमे
भूरिधारे इति भूरि-धारे	भूरिधारे इति भूरि-धारे,भूरिधारे,भूरि-धारे
मधुदुघे इति मधु-दुघे	मधुदुघे इति मधु-दुघे,मधुदुघे,मधु-दुघे
मधुव्रते इति मधु-व्रते	मधुव्रते इति मधु-व्रते,मधुव्रते,मधु-व्रते
विघृते इति वि-घृते	विघृते इति वि-घृते,विघृते,वि-घृते
विभृते इति वि-भृते	विभृते इति वि-भृते,विभृते,वि-भृते
वियुते इति वि-युते	वियुते इति वि-युते,वियुते,वि-युते
विरूपे इति वि-रूपे	विरूपे इति वि-रूपे,विरूपे,वि-रूपे
विश्वजन्ये इति विश्व-जन्ये	विश्वजन्ये इति विश्व-जन्ये,विश्वजन्ये,विश्व-जन्ये
विश्वमिन्वे इति विश्वम्-इन्वे	विश्वमिन्वे इति विश्वम्-इन्वे,विश्वमिन्वे,विश्वम्-इन्वे
विश्ववारे इति विश्व-वारे	विश्ववारे इति विश्व-वारे,विश्ववारे,विश्व-वारे
विषुरूपे इति विषु-रूपे	विषुरूपे इति विषु-रूपे,विषुरूपे,विषु-रूपे
विसिते इति वि-सिते	विसिते इति वि-सिते,विसिते,वि-सिते
विस्कभिते इति वि-स्कभिते	विस्कभिते इति वि-स्कभिते,विस्कभिते,वि-स्कभिते
विह्वयेते इति वि-ह्वयेते	विह्वयेते इति वि-ह्वयेते,विह्वयेते,वि-ह्वयेते
शुचिव्रते इति शुचि-व्रते	शुचिव्रते इति शुचि-व्रते,शुचिव्रते,शुचि-व्रते
सँगच्छमाने इति सम्-गच्छमाने	संगच्छमाने इति सम्-गच्छमाने,संगच्छमाने,सम्-गच्छमाने
सँतस्थाने इति सम्-तस्थाने	संतस्थाने इति सम्-तस्थाने,संतस्थाने,सम्-तस्थाने
सँरराणे इति सम्-रराणे	संरराणे इति सम्-रराणे,संरराणे,सम्-रराणे
सँरिहाणे इति सम्-रिहाणे	संरिहाणे इति सम्-रिहाणे,संरिहाणे,सम्-रिहाणे
सँविदाने इति सम्-विदाने	संविदाने इति सम्-विदाने,संविदाने,सम्-विदाने
सधस्थे इति सध-स्थे	सधस्थे इति सध-स्थे,सधस्थे,सध-स्थे
सनीḻए इति स-नीḻए	सनीडे इति स-नीडे,सनीडे,स-नीडे
सबर्दुघे इति सबः-दुघे	सबर्दुघे इति सबः-दुघे,सबर्दुघे,सबः-दुघे
समन्ते इति सम्-अन्ते	समन्ते इति सम्-अन्ते,समन्ते,सम्-अन्ते
समाराणे इति सम्-आराणे	समाराणे इति सम्-आराणे,समाराणे,सम्-आराणे
समीचीने इति सम्-ईचीने	समीचीने इति सम्-ईचीने,समीचीने,सम्-ईचीने
समृते इति सम्-ऋते	समृते इति सम्-ऋते,समृते,सम्-ऋते
सव्रते इति स-व्रते	सव्रते इति स-व्रते,सव्रते,स-व्रते
सुदिने इति सु-दिने	सुदिने इति सु-दिने,सुदिने,सु-दिने
सुदुघे इति सु-दुघे	सुदुघे इति सु-दुघे,सुदुघे,सु-दुघे
सुदोघे इति सु-दोघे	सुदोघे इति सु-दोघे,सुदोघे,सु-दोघे
सुधृष्टमे इति सु-धृष्टमे	सुधृष्टमे इति सु-धृष्टमे,सुधृष्टमे,सु-धृष्टमे
सुप्रतीके इति सु-प्रतीके	सुप्रतीके इति सु-प्रतीके,सुप्रतीके,सु-प्रतीके
सुभगे इति सु-भगे	सुभगे इति सु-भगे,सुभगे,सु-भगे
सुमिते इति सु-मिते	सुमिते इति सु-मिते,सुमिते,सु-मिते
सुमेके इति सु-मेके	सुमेके इति सु-मेके,सुमेके,सु-मेके
सुरुक्मे इति सु-रुक्मे	सुरुक्मे इति सु-रुक्मे,सुरुक्मे,सु-रुक्मे
सुशिल्पे इति सु-शिल्पे	सुशिल्पे इति सु-शिल्पे,सुशिल्पे,सु-शिल्पे
सुसुम्ने इति सु-सुम्ने	सुसुम्ने इति सु-सुम्ने,सुसुम्ने,सु-सुम्ने
सुस्थाने इति सु-स्थाने	सुस्थाने इति सु-स्थाने,सुस्थाने,सु-स्थाने
स्वर्थे इति सु-अर्थे	स्वर्थे इति सु-अर्थे,स्वर्थे,सु-अर्थे
स्वासस्थे इति सु-आसस्थे	स्वासस्थे इति सु-आसस्थे,स्वासस्थे,सु-आसस्थे
अद्रिसानो इत्यद्रि-सानो	अद्रिसानो इति अद्रि-सानो,अद्रिसानो,अद्रि-सानो
अध्रिगो इत्यध्रि-गो	अध्रिगो इति अध्रि-गो,अध्रिगो,अध्रि-गो
अविहर्यतक्रतो इत्यविहर्यत-क्रतो	अविहर्यतक्रतो इति अविहर्यत-क्रतो,अविहर्यतक्रतो,अविहर्यत-क्रतो
आघृणिवसो इत्याघृणि-वसो	आघृणिवसो इति आघृणि-वसो,आघृणिवसो,आघृणि-वसो
ऋतवसो इत्यृत-वसो	ऋतवसो इति ऋत-वसो,ऋतवसो,ऋत-वसो
कविक्रतो इति कवि-क्रतो	कविक्रतो इति कवि-क्रतो,कविक्रतो,कवि-क्रतो
घृतस्नो इति घृत-स्नो	घृतस्नो इति घृत-स्नो,घृतस्नो,घृत-स्नो
चित्रभानो इति चित्र-भानो	चित्रभानो इति चित्र-भानो,चित्रभानो,चित्र-भानो
जीरदानो इति जीर-दानो	जीरदानो इति जीर-दानो,जीरदानो,जीर-दानो
तुविक्रतो इति तुवि-क्रतो	तुविक्रतो इति तुवि-क्रतो,तुविक्रतो,तुवि-क्रतो
दिवावसो इति दिवा-वसो	दिवावसो इति दिवा-वसो,दिवावसो,दिवा-वसो
दीर्घायो इति दीर्घ-आयो	दीर्घायो इति दीर्घ-आयो,दीर्घायो,दीर्घ-आयो
दुर्हनो इति दुः-हनो	दुर्हनो इति दुः-हनो,दुर्हनो,दुः-हनो
देवयो इति देव-यो	देवयो इति देव-यो,देवयो,देव-यो
धियावसो इति धिया-वसो	धियावसो इति धिया-वसो,धियावसो,धिया-वसो
पुरुक्षो इति पुरु-क्षो	पुरुक्षो इति पुरु-क्षो,पुरुक्षो,पुरु-क्षो
पुरुवसो इति पुरु-वसो	पुरुवसो इति पुरु-वसो,पुरुवसो,पुरु-वसो
पृथुस्तो इति पृथु-स्तो	पृथुस्तो इति पृथु-स्तो,पृथुस्तो,पृथु-स्तो
पृष्टबन्धो इति पृष्ट-बन्धो	पृष्टबन्धो इति पृष्ट-बन्धो,पृष्टबन्धो,पृष्ट-बन्धो
प्रभुवसो इति प्रभु-वसो	प्रभुवसो इति प्रभु-वसो,प्रभुवसो,प्रभु-वसो
प्रयज्यो इति प्र-यज्यो	प्रयज्यो इति प्र-यज्यो,प्रयज्यो,प्र-यज्यो
प्राचामन्यो इति प्राचा-मन्यो	प्राचामन्यो इति प्राचा-मन्यो,प्राचामन्यो,प्राचा-मन्यो
बृहद्भानो इति बृहत्-भानो	बृहद्भानो इति बृहत्-भानो,बृहद्भानो,बृहत्-भानो
भूरिगो इति भूरि-गो	भूरिगो इति भूरि-गो,भूरिगो,भूरि-गो
रदवसो इति रद-वसो	रदवसो इति रद-वसो,रदवसो,रद-वसो
वज्रबाहो इति वज्र-बाहो	वज्रबाहो इति वज्र-बाहो,वज्रबाहो,वज्र-बाहो
वधस्नो इति वध-स्नो	वधस्नो इति वध-स्नो,वधस्नो,वध-स्नो
वरेण्यक्रतो इति वरेण्य-क्रतो	वरेण्यक्रतो इति वरेण्य-क्रतो,वरेण्यक्रतो,वरेण्य-क्रतो
वाजिनीवसो इति वाजिनी-वसो	वाजिनीवसो इति वाजिनी-वसो,वाजिनीवसो,वाजिनी-वसो
विदद्वसो इति विदत्-वसो	विदद्वसो इति विदत्-वसो,विदद्वसो,विदत्-वसो
विभानो इति वि-भानो	विभानो इति वि-भानो,विभानो,वि-भानो
विभावसो इति विभा-वसो	विभावसो इति विभा-वसो,विभावसो,विभा-वसो
विभिन्दो इति वि-भिन्दो	विभिन्दो इति वि-भिन्दो,विभिन्दो,वि-भिन्दो
विश्ववसो इति विश्व-वसो	विश्ववसो इति विश्व-वसो,विश्ववसो,विश्व-वसो
वृषक्रतो इति वृष-क्रतो	वृषक्रतो इति वृष-क्रतो,वृषक्रतो,वृष-क्रतो
शचीवसो इति शची-वसो	शचीवसो इति शची-वसो,शचीवसो,शची-वसो
शाचिगो इति शाचि-गो	शाचिगो इति शाचि-गो,शाचिगो,शाचि-गो
शतक्रतो इति शत-क्रतो	शतक्रतो इति शत-क्रतो,शतक्रतो,शत-क्रतो
सँभृतक्रतो इति सँभृत-क्रतो	संभृतक्रतो इति संभृत-क्रतो,संभृतक्रतो,संभृत-क्रतो
सुक्रतो इति सु-क्रतो	सुक्रतो इति सु-क्रतो,सुक्रतो,सु-क्रतो
